Unnamed: 0,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,target
394636,15551234,17643623,24000,24000,24000.0, 60 months,15.61,578.68,C,C5,Store  manager,5 years,RENT,90000.0,Source Verified,May-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=15551234,,debt_consolidation,Debt consolidation,331xx,FL,14.97,1.0,Oct-02,0.0,16.0,,9.0,0.0,14268,77.5,24.0,w,0.0,0.0,25525.88152,25525.88,24000.0,1525.88,0.0,0.0,0.0,Oct-14,23211.16,,Jan-16,0.0,31.0,1,INDIVIDUAL,,,,0.0,753.0,22471.0,,,,,,,,,,,,18400.0,,,,0
201637,1483660,1742234,9000,9000,9000.0, 36 months,14.33,309.05,C,C1,Bakers Express,5 years,MORTGAGE,65000.0,Not Verified,Sep-12,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1483660,  Borrower added on 08/18/12 > Debt consolidation<br>,debt_consolidation,Debt consolidation,070xx,NJ,12.65,0.0,Mar-07,1.0,,,8.0,0.0,10419,52.6,11.0,f,0.0,0.0,10924.98538,10924.99,9000.0,1924.99,0.0,0.0,0.0,Nov-14,3223.22,,Nov-14,0.0,,1,INDIVIDUAL,,,,0.0,0.0,234871.0,,,,,,,,,,,,19800.0,,,,0
384196,16302398,1852189,31500,31500,31500.0, 36 months,12.49,1053.64,B,B5,Project Manager,2 years,RENT,92000.0,Source Verified,May-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=16302398,,credit_card,Credit card refinancing,410xx,KY,28.82,0.0,Dec-79,0.0,,,19.0,0.0,54937,66.1,33.0,w,0.0,0.0,36274.56,36274.56,31500.0,4774.56,0.0,0.0,0.0,Nov-15,18362.68,,Dec-15,0.0,,1,INDIVIDUAL,,,,0.0,0.0,77517.0,,,,,,,,,,,,83100.0,,,,0
301389,26699641,29182680,6400,6400,6400.0, 36 months,7.69,199.64,A,A4,Clerk,< 1 year,OWN,28500.0,Not Verified,Oct-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=26699641,,credit_card,Credit card refinancing,151xx,PA,5.56,3.0,Jun-02,0.0,7.0,,5.0,0.0,866,29.9,34.0,f,0.0,0.0,6693.65,6693.65,6400.0,293.65,0.0,0.0,0.0,May-15,5495.81,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,53933.0,,,,,,,,,,,,2900.0,,,,0
6465,968522,1189506,14000,14000,14000.0, 36 months,6.03,426.1,A,A1,Maquet,10+ years,RENT,75000.0,Source Verified,Oct-11,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=968522,"  Borrower added on 09/27/11 > This loan is to pay a high interest loan I currently have.<br/> Borrower added on 09/28/11 > I currently have a loan with Discover Bank for the amount of $13845. If I can get this loan, I will use it to pay off that other loan, which will help me save a lot of money on interest plus I will be paying it off much quicker.<br/>null",debt_consolidation,Debt Consolidation Loan,076xx,NJ,12.13,0.0,Jul-99,0.0,,,21.0,0.0,3024,11.5,43.0,f,0.0,0.0,15339.11422,15339.11,14000.0,1339.11,0.0,0.0,0.0,Oct-14,429.25,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0
445466,10546761,12428800,18900,18900,18875.0, 36 months,12.85,635.46,B,B4,Med Billing/Pharmacy Tech/Adjudicator,2 years,MORTGAGE,42000.0,Verified,Feb-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=10546761,"  Borrower added on 02/10/14 > Paying off high interest rate credit cards, so I can finally kick them to the curb!  If there is extra left over, I've been wanting to remodel my family room &amp; 1/2 bath. Home is from the 60's &amp; I've been working my way through the home, to get it updated.<br>",credit_card,Credit card refinancing,600xx,IL,33.43,1.0,Jul-74,1.0,18.0,,20.0,0.0,18310,29.4,30.0,f,0.0,0.0,21650.43,21621.79,18900.0,2750.43,0.0,0.0,0.0,Jul-15,22.5,,Jul-15,0.0,,1,INDIVIDUAL,,,,0.0,0.0,18310.0,,,,,,,,,,,,62300.0,,,,0
56820,9004692,10796835,3250,3250,3250.0, 36 months,13.67,110.56,B,B5,MET team,3 years,OWN,30680.0,Verified,Dec-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=9004692,,credit_card,Debts payoff,432xx,OH,25.9,0.0,Aug-94,0.0,69.0,60.0,10.0,2.0,893,17.2,38.0,f,0.0,0.0,3739.27,3739.27,3249.99,489.28,0.0,0.0,0.0,Apr-15,2080.89,,Jan-16,0.0,73.0,1,INDIVIDUAL,,,,0.0,0.0,25812.0,,,,,,,,,,,,5200.0,,,,0
78119,7710852,9412289,5175,5175,5175.0, 36 months,15.1,179.65,C,C2,General Manager,10+ years,MORTGAGE,40000.0,Verified,Oct-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=7710852,,debt_consolidation,Payoff Cards,346xx,FL,8.31,1.0,Jul-99,1.0,10.0,,5.0,0.0,8916,69.1,9.0,f,0.0,0.0,5654.495064,5654.5,5175.0,479.5,0.0,0.0,0.0,Jun-14,4397.15,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,102001.0,,,,,,,,,,,,12900.0,,,,0
112466,6310270,7841568,4800,4800,4800.0, 36 months,18.25,174.14,D,D2,Alpha healthcare,< 1 year,RENT,30000.0,Verified,Jul-13,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=6310270,,small_business,Business,850xx,AZ,18.68,0.0,May-09,1.0,,,9.0,0.0,2418,34.1,13.0,f,0.0,0.0,2106.35,2106.35,962.71,599.21,0.0,544.43,5.444300003,May-14,174.14,,Sep-14,0.0,,1,INDIVIDUAL,,,,0.0,0.0,29884.0,,,,,,,,,,,,7100.0,,,,1
180927,2300249,2732763,14000,14000,14000.0, 36 months,17.27,501.03,C,C5,State of Illinois,10+ years,RENT,86000.0,Verified,Dec-12,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=2300249,  Borrower added on 12/04/12 > Loan is to pay off current bills with higher interest rates.<br>,credit_card,Credit card refinancing,606xx,IL,26.62,1.0,Jun-78,2.0,18.0,,10.0,0.0,7892,51.9,20.0,f,0.0,0.0,17862.38195,17862.38,14000.0,3862.38,0.0,0.0,0.0,May-15,3851.88,,May-15,0.0,82.0,1,INDIVIDUAL,,,,0.0,265.0,63978.0,,,,,,,,,,,,15200.0,,,,0
436909,12435669,14447815,12500,12500,12500.0, 36 months,12.99,421.12,B,B5,Special Investigator,7 years,RENT,80500.0,Source Verified,Feb-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12435669,  Borrower added on 02/25/14 > Consolidate debt with a lower monthly payment/interest rate<br>,debt_consolidation,Debt consolidation,190xx,PA,16.23,0.0,Aug-98,1.0,26.0,,18.0,0.0,6282,63.5,42.0,f,0.0,0.0,14596.19,14596.19,12500.0,2096.19,0.0,0.0,0.0,Nov-15,6594.91,,Jan-16,0.0,26.0,1,INDIVIDUAL,,,,0.0,80.0,58446.0,,,,,,,,,,,,9900.0,,,,0
55062,9196410,11058461,12000,12000,12000.0, 36 months,8.9,381.04,A,A5,sales,3 years,RENT,60000.0,Source Verified,Dec-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=9196410,,debt_consolidation,My credit cards,902xx,CA,12.99,0.0,Sep-96,0.0,,104.0,7.0,1.0,14041,51.4,10.0,f,0.0,0.0,12721.36777,12721.37,12000.0,721.37,0.0,0.0,0.0,Sep-14,9674.33,,Nov-15,0.0,,1,INDIVIDUAL,,,,0.0,0.0,21912.0,,,,,,,,,,,,27300.0,,,,0
419555,13197554,15229742,3000,3000,3000.0, 36 months,18.92,109.85,D,D4,purchasing,7 years,MORTGAGE,45000.0,Not Verified,Mar-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=13197554,,home_improvement,Home improvement,553xx,MN,12.29,0.0,Jul-02,2.0,,,11.0,0.0,14454,70.2,19.0,w,0.0,0.0,3545.52,3545.52,3000.0,545.52,0.0,0.0,0.0,Apr-15,2227.32,,May-15,0.0,,1,INDIVIDUAL,,,,0.0,0.0,170386.0,,,,,,,,,,,,20600.0,,,,0
120733,5977680,7450111,10800,10800,10800.0, 36 months,19.52,398.74,D,D4,Marriott,1 year,MORTGAGE,65000.0,Verified,Jul-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=5977680,,credit_card,Consolidation,750xx,TX,15.77,0.0,Jan-03,6.0,,,10.0,0.0,14961,51.3,22.0,f,0.0,0.0,12385.33655,12385.34,10800.0,1585.34,0.0,0.0,0.0,May-14,8798.85,,Sep-15,0.0,,1,INDIVIDUAL,,,,0.0,108.0,28418.0,,,,,,,,,,,,30800.0,,,,0
10101,838669,1048780,12500,12500,12500.0, 36 months,10.59,406.82,B,B2,Holland Motor Freight,10+ years,RENT,60000.0,Verified,Aug-11,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=838669,,debt_consolidation,I Want To Be Free Of Debt,606xx,IL,24.6,0.0,Oct-97,2.0,,,13.0,0.0,14423,39.7,28.0,f,0.0,0.0,14280.97,14280.97,12500.0,1780.97,0.0,0.0,0.0,Jun-13,5767.5,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0
232460,37630533,40393285,8000,8000,8000.0, 36 months,9.49,256.23,B,B2,Teacher Assistant,7 years,OWN,27000.0,Source Verified,Dec-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=37630533,,other,Other,640xx,MO,9.22,0.0,Jun-94,0.0,,28.0,15.0,1.0,3675,4.9,22.0,f,0.0,0.0,8128.61,8128.61,8000.0,128.61,0.0,0.0,0.0,Feb-15,7880.82,,Jun-15,0.0,,1,INDIVIDUAL,,,,0.0,0.0,3675.0,,,,,,,,,,,,75700.0,,,,0
264191,33141137,35784426,6000,6000,6000.0, 36 months,13.35,203.18,C,C2,EMT,5 years,MORTGAGE,40000.0,Source Verified,Oct-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=33141137,,debt_consolidation,Debt consolidation,370xx,TN,18.51,1.0,Jun-97,0.0,7.0,,8.0,0.0,2503,83.4,25.0,w,0.0,0.0,6628.86,6628.86,6000.0,628.86,0.0,0.0,0.0,Oct-15,40.63,,Sep-15,0.0,35.0,1,INDIVIDUAL,,,,0.0,0.0,171045.0,,,,,,,,,,,,3000.0,,,,0
125216,5779998,5485133,18000,18000,18000.0, 60 months,15.8,435.82,C,C3,"Loudin Insurance Agency, Inc.",3 years,RENT,70000.0,Verified,Jul-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=5779998,  Borrower added on 06/13/13 > Debt Consolidation<br>,debt_consolidation,Debt Consolidation,262xx,WV,3.38,0.0,Nov-90,0.0,31.0,,5.0,0.0,4104,43.2,23.0,f,0.0,0.0,21907.9869,21907.99,18000.0,3907.99,0.0,0.0,0.0,Jan-15,14502.27,,Jan-15,0.0,31.0,1,INDIVIDUAL,,,,0.0,122.0,4104.0,,,,,,,,,,,,9500.0,,,,0
48626,9876115,11728090,6600,6600,6600.0, 36 months,16.24,232.82,C,C5,Accounts Payable Manager,5 years,RENT,32000.0,Source Verified,Dec-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=9876115,  Borrower added on 12/13/13 > I've needed to consolidate high interest rates on my cards into one monthly payment. Hopefully this will work out to get me on the right track.<br>,debt_consolidation,Consolidation,716xx,AR,34.55,1.0,Nov-97,0.0,13.0,,14.0,0.0,2495,67.4,32.0,w,0.0,0.0,7183.524873,7183.52,6600.0,583.52,0.0,0.0,0.0,Jul-14,5786.6,,Nov-15,0.0,37.0,1,INDIVIDUAL,,,,0.0,0.0,40175.0,,,,,,,,,,,,3700.0,,,,0
155957,3701039,4674082,5400,5400,5400.0, 36 months,15.8,189.32,C,C3,State of Oklahoma ,10+ years,OWN,52000.0,Source Verified,Mar-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3701039,,credit_card,Credit Card Consolidation,731xx,OK,16.73,0.0,Oct-02,2.0,63.0,,12.0,0.0,10397,42.1,30.0,w,0.0,0.0,5540.65,5540.65,5400.0,140.65,0.0,0.0,0.0,May-13,5351.33,,Sep-15,0.0,63.0,1,INDIVIDUAL,,,,0.0,0.0,31074.0,,,,,,,,,,,,24700.0,,,,0
171868,3148889,3861334,35000,35000,34975.0, 36 months,19.05,1283.85,D,D4,Southwest Airlines,6 years,MORTGAGE,165000.0,Verified,Jan-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3148889,  Borrower added on 01/13/13 > Looking to consolidate my credit card debt and pay off my car loan. This will free up money and with one payment instead of several make it easier to pay back and manage my finances<br>,debt_consolidation,Debt Consolidation,853xx,AZ,18.6,0.0,Jun-07,2.0,,,8.0,0.0,39711,96.9,10.0,f,0.0,0.0,43387.74448,43356.79,35000.0,8387.74,0.0,0.0,0.0,Aug-14,20285.33,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,353277.0,,,,,,,,,,,,41000.0,,,,0
22823,624053,799755,15000,9325,8800.0, 36 months,6.54,285.98,A,A4,KIPP Infinity Elementary School,< 1 year,RENT,66500.0,Verified,Dec-10,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=624053,"  Borrower added on 12/01/10 > I am a teacher and have been teaching for many years. My monthly net income is $3,552. I plan to use this loan to make a variety of short and long-term security investments, which are a part of my overall retirement investment plan. I am confident that my job security, current salery, and excellent credit score make me a strong canidate for this loan. I appreciate your assistance.<br/>",major_purchase,Building Wealth Loan,100xx,NY,5.79,0.0,Oct-04,0.0,,,10.0,0.0,195,2.4,12.0,f,0.0,0.0,10293.14,9713.56,9325.0,968.14,0.0,0.0,0.0,Dec-13,305.74,,Jan-14,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0
303300,28042197,30555320,20000,20000,20000.0, 36 months,11.67,661.14,B,B4,Project Manager,7 years,MORTGAGE,105000.0,Verified,Sep-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=28042197,,debt_consolidation,Debt consolidation,913xx,CA,13.15,0.0,Aug-91,0.0,45.0,,15.0,0.0,18041,67.6,25.0,w,0.0,0.0,22187.99,22187.99,20000.0,2187.99,0.0,0.0,0.0,Nov-15,14254.31,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,385618.0,,,,,,,,,,,,26700.0,,,,0
436115,12466201,14478333,17625,17625,17625.0, 60 months,21.18,478.61,E,E3,Teacher,4 years,MORTGAGE,60000.0,Verified,Feb-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12466201,,debt_consolidation,Debt consolidation,606xx,IL,15.58,0.0,Sep-02,1.0,76.0,,14.0,0.0,3976,31.3,22.0,f,0.0,0.0,22950.68,22950.68,17625.0,5325.68,0.0,0.0,0.0,Sep-15,14814.31,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,818.0,225007.0,,,,,,,,,,,,12700.0,,,,0
121785,5955678,7427820,6250,6250,6250.0, 36 months,18.85,228.63,D,D3,dominos ,< 1 year,RENT,51200.0,Not Verified,Jul-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=5955678,,other,personal loan,840xx,UT,24.6,0.0,Aug-89,0.0,65.0,117.0,9.0,1.0,5001,67.6,28.0,w,0.0,0.0,8166.32,8166.32,6250.0,1916.32,0.0,0.0,0.0,Jan-16,1536.05,,Jan-16,0.0,65.0,1,INDIVIDUAL,,,,0.0,904.0,40819.0,,,,,,,,,,,,7400.0,,,,0
335549,22343322,24666056,20000,20000,20000.0, 36 months,8.39,630.34,A,A5,DIRECTOR OF CUSTOMER RELATIONS,6 years,MORTGAGE,124000.0,Source Verified,Jul-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=22343322,,credit_card,Credit card refinancing,288xx,NC,8.45,0.0,Feb-90,1.0,,,14.0,0.0,23386,64.8,54.0,f,0.0,0.0,21633.58,21633.58,20000.0,1633.58,0.0,0.0,0.0,Sep-15,14069.5,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,542706.0,,,,,,,,,,,,36100.0,,,,0
328594,23844595,26217360,4800,4800,4800.0, 36 months,6.03,146.1,A,A1,Consultant,1 year,RENT,99000.0,Not Verified,Aug-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=23844595,,credit_card,Credit card refinancing,891xx,NV,14.62,1.0,Jun-00,0.0,9.0,,27.0,0.0,6242,6.2,38.0,f,0.0,0.0,5025.96,5025.96,4800.0,225.96,0.0,0.0,0.0,Jul-15,3079.86,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,68427.0,,,,,,,,,,,,101400.0,,,,0
376839,17685618,19818078,6000,6000,6000.0, 36 months,7.12,185.6,A,A3,Tax accountant,< 1 year,RENT,60000.0,Source Verified,Jun-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=17685618,,debt_consolidation,Debt consolidation,770xx,TX,13.66,0.0,Feb-05,4.0,,,8.0,0.0,8221,28.9,37.0,w,0.0,0.0,6104.124719,6104.12,6000.0,104.12,0.0,0.0,0.0,Sep-14,5732.92,,Oct-15,0.0,,1,INDIVIDUAL,,,,0.0,0.0,23053.0,,,,,,,,,,,,28400.0,,,,0
155661,3701661,4674855,20000,20000,19675.0, 60 months,8.9,414.2,A,A5,Accenture,6 years,RENT,86000.0,Verified,Mar-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3701661,"  Borrower added on 03/14/13 > Hi,<br>Thank you for visiting my page.  I have successfully paid off two lending club loans before, and I am taking this loan out to consolidate my debt.  I have a same stable job for the past 6 years, and I am confident of my ability to handle your investment with the utmost care.  Thank you !!<br>",debt_consolidation,Excellent Payback Credentials Guaranteed,070xx,NJ,17.68,0.0,Jan-01,0.0,,,13.0,0.0,2368,4.7,25.0,f,0.0,0.0,21882.87337,21527.17,20000.0,1882.87,0.0,0.0,0.0,May-14,16525.0,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,64758.0,,,,,,,,,,,,50500.0,,,,0
213664,1342231,1586820,5625,5625,5625.0, 36 months,12.12,187.16,B,B3,Wendy's International,10+ years,RENT,56500.0,Not Verified,Jun-12,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1342231,,debt_consolidation,Debt,956xx,CA,26.77,0.0,Jan-02,0.0,26.0,,10.0,0.0,15960,79.0,18.0,f,0.0,0.0,6548.14912,6548.15,5625.0,923.15,0.0,0.0,0.0,Apr-14,2622.59,,Feb-15,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,,0
304456,27512117,30015268,23000,23000,23000.0, 36 months,14.99,797.19,C,C5,Dept Manager,1 year,MORTGAGE,64800.0,Source Verified,Sep-14,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=27512117,,debt_consolidation,Debt consolidation,720xx,AR,25.66,0.0,Apr-93,3.0,29.0,,14.0,0.0,16231,54.1,46.0,f,0.0,0.0,5580.33,5580.33,3706.51,1873.82,0.0,0.0,0.0,May-15,797.19,,Dec-15,0.0,,1,INDIVIDUAL,,,,0.0,0.0,179011.0,,,,,,,,,,,,30000.0,,,,1
